territori,tipus_de_territori,anys,edat_mitjana.espanya,edat_mitjana.resta de la unio europea,edat_mitjana.resta del mon
la dreta de l'eixample,barri,2005,47.02700456,35.32508132,32.57568708
la dreta de l'eixample,barri,2006,47.01891131,34.90438484,32.87913711
la dreta de l'eixample,barri,2007,47.08376713,34.57594758,32.65926513
la dreta de l'eixample,barri,2008,47.18062667,34.67167053,32.72967708
la dreta de l'eixample,barri,2009,47.34533151,34.62464309,33.02226503
la dreta de l'eixample,barri,2010,47.24472465,34.63535681,33.43081518
la dreta de l'eixample,barri,2011,47.24099286,34.63878639,33.76013669
la dreta de l'eixample,barri,2012,47.2376875,34.97635879,33.96983424
la dreta de l'eixample,barri,2013,47.25861833,35.19065815,34.42888367
la dreta de l'eixample,barri,2014,47.11031412,35.16172284,34.73910572
la dreta de l'eixample,barri,2015,47.08329201,35.23758369,34.87281211
la dreta de l'eixample,barri,2016,47.07118878,34.99140647,35.00467922
la dreta de l'eixample,barri,2017,47.23631876,35.01087624,34.66372594
la dreta de l'eixample,barri,2018,47.36585972,35.2145861,34.59364975
la dreta de l'eixample,barri,2019,47.6670553,35.12519072,34.81810728
la dreta de l'eixample,barri,2020,47.81984016,35.03130446,35.0118327
la dreta de l'eixample,barri,2021,47.95459725,34.86229644,35.55742239
la dreta de l'eixample,barri,2022,47.99374974,34.97156408,35.5702639
la dreta de l'eixample,barri,2023,48.08415171,35.0772129,35.66638177
l'antiga esquerra de l'eixample,barri,1997,46.9863013,45.99029966,34.78870771
l'antiga esquerra de l'eixample,barri,1998,46.95716127,45.07755024,34.95881843
l'antiga esquerra de l'eixample,barri,1999,47.01080406,44.64940359,34.55306225
l'antiga esquerra de l'eixample,barri,2000,47.14005308,43.87544744,33.68062259
l'antiga esquerra de l'eixample,barri,2001,47.21210699,42.3552621,32.65628044
l'antiga esquerra de l'eixample,barri,2002,47.04957516,38.57070326,32.31286158
l'antiga esquerra de l'eixample,barri,2003,47.36490663,37.47932152,32.15868847
l'antiga esquerra de l'eixample,barri,2004,47.45340333,36.61700327,32.68346017
l'antiga esquerra de l'eixample,barri,2005,47.53005982,36.00960099,32.62466935
l'antiga esquerra de l'eixample,barri,2006,47.56032732,35.22055065,32.85034548
l'antiga esquerra de l'eixample,barri,2007,47.49461104,34.31241234,32.87133361
l'antiga esquerra de l'eixample,barri,2008,47.65799933,33.91344095,33.08508658
l'antiga esquerra de l'eixample,barri,2009,47.83429656,34.1406093,32.90158479
l'antiga esquerra de l'eixample,barri,2010,47.67024126,34.45718862,33.22622655
l'antiga esquerra de l'eixample,barri,2011,47.58977118,34.7588791,33.43770236
l'antiga esquerra de l'eixample,barri,2012,47.60464332,34.96575618,34.12127189
l'antiga esquerra de l'eixample,barri,2013,47.60807283,35.21446506,34.23429774
l'antiga esquerra de l'eixample,barri,2014,47.59114583,35.41792731,34.35455457
l'antiga esquerra de l'eixample,barri,2015,47.55032314,35.59146242,34.56047682
l'antiga esquerra de l'eixample,barri,2016,47.47462643,35.73091725,34.50103841
l'antiga esquerra de l'eixample,barri,2017,47.48404718,35.66235821,34.33585538
l'antiga esquerra de l'eixample,barri,2018,47.45331441,35.58937037,34.35612181
l'antiga esquerra de l'eixample,barri,2019,47.66594679,35.66328174,34.39656927
l'antiga esquerra de l'eixample,barri,2020,47.91094866,35.47279452,34.51096822
l'antiga esquerra de l'eixample,barri,2021,48.04725159,35.31307668,35.02243581
l'antiga esquerra de l'eixample,barri,2022,48.25478733,35.29794315,35.48520245
l'antiga esquerra de l'eixample,barri,2023,48.464333860000004,35.27371989,35.53777487
la nova esquerra de l'eixample,barri,1997,44.2143499,44.01314878,33.47132867
la nova esquerra de l'eixample,barri,1998,44.39722782,43.37018783,33.50423977
la nova esquerra de l'eixample,barri,1999,44.64076028,42.76804025,33.52143373
la nova esquerra de l'eixample,barri,2000,44.89429479,42.51218661,32.97397513
la nova esquerra de l'eixample,barri,2001,45.21937219,40.99940649,32.31246022
la nova esquerra de l'eixample,barri,2002,45.35480572,38.38340147,31.96731511
la nova esquerra de l'eixample,barri,2003,45.69874782,36.6353884,31.70916182
la nova esquerra de l'eixample,barri,2004,45.97681112,36.31342224,31.67654543
la nova esquerra de l'eixample,barri,2005,46.30161359,35.65570713,31.93305915
la nova esquerra de l'eixample,barri,2006,46.49962867,34.70299178,32.15943178
la nova esquerra de l'eixample,barri,2007,46.70385014,34.11478504,32.39049676
la nova esquerra de l'eixample,barri,2008,46.88047501,33.8059288,32.47014639
la nova esquerra de l'eixample,barri,2009,46.99965628,34.04554322,32.56470782
la nova esquerra de l'eixample,barri,2010,47.15748395,34.13934103,32.81663894
la nova esquerra de l'eixample,barri,2011,47.33846155,34.67742081,33.00763328
la nova esquerra de l'eixample,barri,2012,47.43583754,34.88635968,33.09440498
la nova esquerra de l'eixample,barri,2013,47.56185989,34.99441557,33.4219017
la nova esquerra de l'eixample,barri,2014,47.77471868,35.30909614,33.72645214
la nova esquerra de l'eixample,barri,2015,47.85095339,35.6512918,33.73034816
la nova esquerra de l'eixample,barri,2016,47.88891748,35.66034198,34.17842441
la nova esquerra de l'eixample,barri,2017,48.03387351,35.53182027,34.31073378
la nova esquerra de l'eixample,barri,2018,48.17092015,35.53725935,34.32239283
la nova esquerra de l'eixample,barri,2019,48.31307031,35.53996627,34.55183601
la nova esquerra de l'eixample,barri,2020,48.59349389,35.32984556,34.60209637
la nova esquerra de l'eixample,barri,2021,48.73352933,35.32348777,35.01794663
la nova esquerra de l'eixample,barri,2022,48.83929234,35.62639361,35.10400171
la nova esquerra de l'eixample,barri,2023,48.94120137,35.59200819,35.26884486
sant antoni,barri,1997,46.92089026,39.75226754,35.495551
sant antoni,barri,1998,46.90897873,38.78391874,34.27703001
sant antoni,barri,1999,47.05010256,39.09527038,33.62336657
sant antoni,barri,2000,47.18965398,39.60552814,33.25881865
sant antoni,barri,2001,47.45464072,37.52211969,31.91835362
sant antoni,barri,2002,47.5982598,35.21978199,31.7032955
sant antoni,barri,2003,47.81238752,34.51371998,31.56373782
sant antoni,barri,2004,48.06702209,34.40214312,31.31226051
sant antoni,barri,2005,48.25021881,33.635516,31.77118864
sant antoni,barri,2006,48.36830035,33.22808588,32.28343809
sant antoni,barri,2007,48.40987703,33.04580292,32.19718925
sant antoni,barri,2008,48.44220146,33.27967247,32.50685835
sant antoni,barri,2009,48.52082573,33.33185757,32.6626653
sant antoni,barri,2010,48.63227705,33.53376324,32.37925396
sant antoni,barri,2011,48.60576366,33.8905287,32.81141376
sant antoni,barri,2012,48.53748277,34.22275547,32.84457722
sant antoni,barri,2013,48.64318088,34.57697402,33.12578474
sant antoni,barri,2014,48.64267219,34.91461383,33.45827184
sant antoni,barri,2015,48.60016007,35.02312977,33.73935474
sant antoni,barri,2016,48.53952976,35.04209344,34.20533854
sant antoni,barri,2017,48.69419472,35.02138921,34.18210657
sant antoni,barri,2018,48.76106382,35.3281974,34.29988965
sant antoni,barri,2019,48.79073475,35.31791945,34.55464931
sant antoni,barri,2020,48.91369649,35.24834886,34.5601834
sant antoni,barri,2021,48.93909967,35.3658051,35.13673604
sant antoni,barri,2022,48.923332,35.85944261,35.58537137
sant antoni,barri,2023,48.84043858,35.70817965,35.6869143
sants-montjuic,districte,1997,43.0332107,39.56265729,30.73723618
sants-montjuic,districte,1998,43.20133125,39.35176701,30.45248553
sants-montjuic,districte,1999,43.4671701,38.59158668,31.14248856
sants-montjuic,districte,2000,43.76517229,38.01377658,31.26483918
sants-montjuic,districte,2001,44.09035457,37.48579267,30.77415832
sants-montjuic,districte,2002,44.3126959,36.1360126,30.51951958
sants-montjuic,districte,2003,44.66801276,35.36404294,30.44222257
sants-montjuic,districte,2004,45.02600288,34.97339456,30.46186976
sants-montjuic,districte,2005,45.38265638,34.19352915,30.84966462
sants-montjuic,districte,2006,45.54778896,33.72428752,31.08890601
sants-montjuic,districte,2007,45.71907351,33.01305316,31.18460452
sants-montjuic,districte,2008,45.90230174,32.81187763,31.21264926
sants-montjuic,districte,2009,46.02193326,32.9759202,31.34282563
sants-montjuic,districte,2010,46.07208993,33.17882966,31.66135068
sants-montjuic,districte,2011,46.20078997,33.29035024,31.84769248
sants-montjuic,districte,2012,46.29508822,33.67320641,32.1545463
sants-montjuic,districte,2013,46.46758205,34.02231156,32.54360202
sants-montjuic,districte,2014,46.60892481,34.51294604,32.9033188
sants-montjuic,districte,2015,46.63473817,34.87165371,33.0627417
sants-montjuic,districte,2016,46.69671645,35.04009675,33.44735135
sants-montjuic,districte,2017,46.79125088,35.00327027,33.6521324
sants-montjuic,districte,2018,46.93166744,34.98716438,33.79612886
sants-montjuic,districte,2019,47.07294715,35.02903541,33.94750052
sants-montjuic,districte,2020,47.28953573,35.12722047,33.94272918
sants-montjuic,districte,2021,47.40526938,35.43322751,34.51853529
sants-montjuic,districte,2022,47.58319696,35.86243644,34.75774772
sants-montjuic,districte,2023,47.58349193,36.0442223,34.94133504
el poble-sec,barri,1997,45.87621681,39.91194964,30.33931419
el poble-sec,barri,1998,45.85762182,37.56760145,29.92588938
el poble-sec,barri,1999,46.0233625,37.07605266,30.4988348
el poble-sec,barri,2000,46.11862555,37.01089577,30.68146461
el poble-sec,barri,2001,46.41807489,36.03298553,30.34089656
el poble-sec,barri,2002,46.43902548,35.46078062,30.48863504
el poble-sec,barri,2003,46.64272604,34.84880849,30.43043123
el poble-sec,barri,2004,46.90802038,34.481856,30.69366398
el poble-sec,barri,2005,47.16172549,33.63077801,31.0400719
el poble-sec,barri,2006,47.06380894,32.85216019,31.4021522
el poble-sec,barri,2007,46.93084596,32.72903847,31.50963281
el poble-sec,barri,2008,46.92162182,32.77192033,31.25908745
el poble-sec,barri,2009,46.80395074,32.97362221,31.43813626
el poble-sec,barri,2010,46.60639854,33.08143783,31.65627669
el poble-sec,barri,2011,46.56470141,32.91994403,31.70926145
el poble-sec,barri,2012,46.52187971,33.37042177,31.85586963
el poble-sec,barri,2013,46.75126374,33.98309492,32.38509997
el poble-sec,barri,2014,46.73742177,34.40594214,32.74660553
el poble-sec,barri,2015,46.60062934,34.77375764,32.91922868
el poble-sec,barri,2016,46.51913653,34.97949702,33.3126268
el poble-sec,barri,2017,46.50092097,34.78680657,33.56193476
el poble-sec,barri,2018,46.64428873,34.97779375,33.77863608
el poble-sec,barri,2019,46.63136067,34.82941828,34.03670796
el poble-sec,barri,2020,46.94159482,35.08535924,34.09850278
el poble-sec,barri,2021,47.01080323,35.16031836,34.6352195
el poble-sec,barri,2022,47.08496883,35.53125613,34.93755898
el poble-sec,barri,2023,46.97630696,35.75537142,35.45363388
