territori,tipus_de_territori,anys,sense estudis_espanya,sense estudis_resta de la unio europea,sense estudis_resta del mon,"estudis primaris, certificat d'escolaritat, egb_espanya","estudis primaris, certificat d'escolaritat, egb_resta de la unio europea","estudis primaris, certificat d'escolaritat, egb_resta del mon","batxillerat elemental, graduat escolar, eso, fpi_espanya","batxillerat elemental, graduat escolar, eso, fpi_resta de la unio europea","batxillerat elemental, graduat escolar, eso, fpi_resta del mon","batxillerat superior, bup, cou, fpii, cfgm grau mitja_espanya","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta de la unio europea","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta del mon","estudis universitaris, cfgs grau superior_espanya","estudis universitaris, cfgs grau superior_resta de la unio europea","estudis universitaris, cfgs grau superior_resta del mon"
"sant pere, santa caterina i la ribera",barri,2010,1468,9,146,2734,114,1305,2527,298,711,2976,775,801,2874,1907,1136
"sant pere, santa caterina i la ribera",barri,2011,1339,7,158,2625,91,1282,2552,252,756,2993,737,781,3017,1827,1179
"sant pere, santa caterina i la ribera",barri,2012,1212,6,155,2522,84,1251,2545,264,796,3068,796,829,3190,2082,1263
"sant pere, santa caterina i la ribera",barri,2013,1108,6,140,2433,83,1223,2517,286,781,2986,865,811,3185,2349,1309
"sant pere, santa caterina i la ribera",barri,2014,1011,6,143,2340,91,1148,2484,295,718,2868,902,724,3246,2477,1322
"sant pere, santa caterina i la ribera",barri,2015,923,9,139,2283,87,1122,2426,278,703,2895,943,722,3341,2561,1365
"sant pere, santa caterina i la ribera",barri,2016,478,NA,16,2632,108,1154,2362,285,675,2878,955,709,3454,2623,1490
"sant pere, santa caterina i la ribera",barri,2017,414,NA,15,2477,115,1071,2391,327,792,2845,952,747,3527,2779,1859
"sant pere, santa caterina i la ribera",barri,2018,366,NA,17,2349,112,1053,2364,334,828,2714,905,775,3500,2806,1936
"sant pere, santa caterina i la ribera",barri,2019,322,NA,19,2206,121,1071,2314,363,880,2685,1038,875,3516,3126,2082
"sant pere, santa caterina i la ribera",barri,2020,280,NA,13,2075,120,1070,2348,372,933,2676,1032,982,3535,3117,2172
"sant pere, santa caterina i la ribera",barri,2021,238,NA,13,1996,95,1008,2303,335,1001,2670,951,1121,3468,2791,2623
"sant pere, santa caterina i la ribera",barri,2022,206,NA,10,1908,108,745,2335,338,907,2651,913,1010,3472,2868,2625
"sant pere, santa caterina i la ribera",barri,2023,172,NA,10,1826,112,669,2334,317,937,2532,833,1100,3449,2772,2736
eixample,districte,1997,22993,27,146,47628,154,492,36002,126,302,52085,424,824,49556,543,900
eixample,districte,1998,21906,25,152,47051,176,631,35947,142,369,52391,484,1089,49929,663,1078
eixample,districte,1999,20655,26,167,46004,184,798,35739,148,417,52370,545,1301,50167,781,1329
eixample,districte,2000,19381,28,190,44583,196,1004,35228,156,529,52020,576,1648,50392,939,1618
eixample,districte,2001,18235,29,201,43084,214,1758,34627,190,1201,51416,668,2878,50463,1242,2624
eixample,districte,2002,17242,42,397,37896,199,2478,36442,365,2614,59912,1297,4995,53545,1782,3869
eixample,districte,2003,16265,41,426,36224,232,3734,36391,496,3682,59415,1618,6256,53841,2624,5796
eixample,districte,2004,15105,39,415,34764,295,4525,35947,600,4176,56991,1915,6632,54280,3426,7164
eixample,districte,2005,14173,40,390,33513,359,5515,35580,740,4635,55222,2267,7146,54715,4408,8461
eixample,districte,2006,13397,34,418,32311,403,6161,35424,943,5102,54100,2612,7483,56185,5418,9212
eixample,districte,2007,12580,40,331,31121,679,5615,35088,1386,4368,52861,3402,6217,56867,6785,7628
eixample,districte,2008,12593,52,345,30298,785,6205,35087,1620,4811,52044,3949,6367,57810,8107,8302
eixample,districte,2009,11785,52,372,28828,826,6704,35114,1665,5466,51333,4326,6676,58683,9125,9278
eixample,districte,2010,10728,53,349,27430,700,6416,35254,1536,5408,52008,4142,6267,60074,9151,8843
